River;Hydropeaking river-type;Hydropeaking, residual flow, natural/near-natural;Reach (Untersuchungsstelle);Abiotic measured by;Date of survey;Transect;Sampling point;Time of survey;"Distance ""Wasseranschlaglinie"" [m]";Flow velocity [v60, cm/s];Category Flow velocity (5 Bewohnbarkeits-klasse);Water depth [cm];Category Water depth;Clogging (6 Klassen);Clogging (3 Klassen);Substrate type;"Algae cover (Bewuchsdichte; 5 Kategorien:1-5)";"Moos cover (Deckungsgrad; 6 Kategorien:0-5)";"CPOM cover (Deckungsgrad; 5 Kategorien:1-5)";RTK-GPS Nr.;MZB kick-net taken by;Varia;;River;Reach (Untersuchungsstelle);Abiotic measured by;Date of survey;Time of survey;pH;Conductivity [μs/s];Oxygen content [mg/l];Oxygen saturation [%];Turbidity [FNU];Temperature [°C];Discharge [m3/s];Water gauge [MüM];Gauging station;Varia
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;2;3;12:35;3.15;49;5;54;;none;none;> 250 mm;1;0;1;4;Diego;;;Sitter;S6;Diego, Manuel;23.03.2022;15:40;8.84;396.0;13.44;;1.80;9.2;2.500;575.22;Sitter-StGallen-Brüggen;
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;3;1;13:25;0.35;1;1;30;;none;none;250 mm > x > 25 mm;1;0;1;9;Diego;;;Saane;SA1;Diego, Sarah;24.03.2022;13:15;8.43;431.0;12.49;;2.14;7.4;18.000;532.00;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;3;2;13:45;3.40;29;5;50;;none;none;> 250 mm;1;0;1;8;Diego;Schwierig zu beproben;;Saane;SA1;Diego, Sarah;24.03.2022;14:05;8.43;433.0;12.88;;1.78;8.5;5.200;531.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;3;3;13:05;5.20;76;4;51;;none;none;> 250 mm;1;0;1;7;Diego;Schwierig zu beproben;;Saane;SA1;Diego, Sarah;24.03.2022;15:30;8.34;446.0;13.40;;1.66;9.1;5.200;531.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;4;1;13:45;0.40;1;1;21;;none;none;250 mm > x > 25 mm;1;0;1;12;Denise;;;Saane;SAR;Diego, Sarah;25.03.2022;09:15;8.42;447.0;12.07;;1.95;5.3;69.000;532.53;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;4;2;13:40;2.95;19;3;43;;none;none;250 mm > x > 25 mm;1;0;1;11;Denise;;;Saane;SAR;Diego, Sarah;25.03.2022;10:05;8.43;448.0;12.26;;1.99;6.5;69.000;532.53;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;4;3;13:35;4.15;51;5;37;;none;none;> 250 mm;1;0;1;10;Denise;;;Saane;SAR;Diego, Sarah;25.03.2022;11:20;8.56;438.0;12.60;;1.93;6.6;60.000;532.53;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;1;1;14:55;0.45;1;1;12;;none;none;25 mm > x > 2.5 mm;2;0;1;3;Diego;;;Saane;SA2;Diego, Sarah;25.03.2022;13:35;8.29;438.0;13.46;;2.45;7.2;5.400;532.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;1;2;14:50;4.65;34;5;41;;none;none;250 mm > x > 25 mm;2;0;1;2;Diego;;;Saane;SA2;Diego, Sarah;25.03.2022;14:20;8.22;435.0;13.06;;2.50;7.6;5.300;532.71;Sarine-Fribourg;
Moesa;2b;Hydropeaking;M5;Diego, Manuel;04.03.2022;1;3;14:45;8.10;64;5;62;;none;none;250 mm > x > 25 mm;2;0;1;1;Diego;;;Saane;SA2;Diego, Sarah;25.03.2022;15:25;8.14;433.0;13.63;;2.34;7.8;5.300;532.71;Sarine-Fribourg;
