"nse_meas","r2_meas","index","model","predictor","origin","rel_rmse_meas","rel_mae_meas","rel_bias_meas","key","nse_rast","r2_rast","rel_rmse_rast","rel_mae_rast","rel_bias_rast","nse_train","r2_train","rel_rmse_train","rel_mae_train","rel_bias_train","rel_rmse_test","rel_mae_test","rel_bias_test","r2_test","nse_test","rel_rmse_train_meas","rel_mae_train_meas","rel_bias_train_meas","r2_train_meas","nse_train_meas","rel_rmse_train_rast","rel_mae_train_rast","rel_bias_train_rast","r2_train_rast","nse_train_rast"
0.2,0.21,"rel_abundance","rf","samp","measured",0.16,0.1,-0.01,"rel_abundance-rf-samp",NA,NA,NA,NA,NA,0.55,0.64,0.12,0.08,0,NA,NA,NA,NA,NA,0.04,0.02,0.01,0.43,0.35,NA,NA,NA,NA,NA
0.4,0.42,"k_index","rf","all","measured",0.1,0.09,0.01,"k_index-rf-all",NA,NA,NA,NA,NA,0.73,0.75,0.07,0.05,-0.05,NA,NA,NA,NA,NA,0.03,0.04,0.06,0.33,0.33,NA,NA,NA,NA,NA
0.07,0.14,"shannon","rf","all","measured",0.11,0.09,0.03,"shannon-rf-all",NA,NA,NA,NA,NA,0.79,0.81,0.07,0.04,-0.06,NA,NA,NA,NA,NA,0.04,0.05,0.09,0.67,0.72,NA,NA,NA,NA,NA
0.21,0.25,"abundance","rf","all","measured",0.16,0.11,-0.02,"abundance-rf-all",NA,NA,NA,NA,NA,0.62,0.69,0.12,0.08,0.06,NA,NA,NA,NA,NA,0.04,0.03,0.08,0.44,0.41,NA,NA,NA,NA,NA
0.21,0.24,"rel_abundance","rf","all","measured",0.16,0.11,-0.02,"rel_abundance-rf-all",NA,NA,NA,NA,NA,0.67,0.74,0.11,0.08,0.06,NA,NA,NA,NA,NA,0.05,0.03,0.08,0.5,0.46,NA,NA,NA,NA,NA
0.43,0.45,"k_index","rf","var","measured",0.1,0.08,0.01,"k_index-rf-var",0.27,0.37,0.11,0.09,-0.04,0.83,0.84,0.06,0.04,-0.05,0.01,0.01,0.05,0.08,0.16,0.04,0.04,0.06,0.39,0.4,0.05,0.05,0.01,0.47,0.56
0.08,0.15,"shannon","rf","var","measured",0.11,0.08,0.03,"shannon-rf-var",0.05,0.2,0.12,0.1,-0.05,0.58,0.65,0.09,0.06,-0.06,0.01,0.02,0.08,0.05,0.03,0.02,0.02,0.09,0.5,0.5,0.03,0.04,0.01,0.45,0.53
0.18,0.21,"abundance","rf","var","measured",0.16,0.11,-0.03,"abundance-rf-var",0.1,0.13,0.18,0.12,0.03,0.75,0.81,0.1,0.07,0.06,0.02,0.01,0.06,0.08,0.08,0.06,0.04,0.09,0.6,0.57,0.08,0.05,0.03,0.68,0.65
0.18,0.22,"rel_abundance","rf","var","measured",0.16,0.11,-0.03,"rel_abundance-rf-var",0.11,0.15,0.17,0.11,0.03,0.7,0.76,0.11,0.07,0.06,0.01,0,0.06,0.07,0.07,0.05,0.04,0.09,0.54,0.52,0.06,0.04,0.03,0.61,0.59
NA,NA,NA,NA,NA,NA,NA,NA,NA,"k_index-brt-velocity",NA,NA,NA,NA,NA,0.35,0.35,0.12,0.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"shannon-brt-velocity",NA,NA,NA,NA,NA,-0.08,NA,0.17,0.13,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"abundance-brt-velocity",NA,NA,NA,NA,NA,-0.28,NA,0.2,0.16,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"rel_abundance-brt-velocity",NA,NA,NA,NA,NA,-0.69,NA,0.23,0.2,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"k_index-rf-velocity",NA,NA,NA,NA,NA,0.12,0.14,0.14,0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"shannon-rf-velocity",NA,NA,NA,NA,NA,0.15,0.17,0.15,0.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"abundance-rf-velocity",NA,NA,NA,NA,NA,0.21,0.22,0.16,0.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"rel_abundance-rf-velocity",NA,NA,NA,NA,NA,0.19,0.2,0.16,0.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
