"v_ezg","wd_cm_ezg","v_q","wd_cm_q","Reach_Untersuchungsstelle","velocity","wd_cm"
0.45100000500679,0.314000010490417,0.209999993443489,0.186000004410744,"M1",0.51,0.49
0.374000012874603,0.0309999994933605,NA,0,"M1",0.01,0.08
0.800000011920929,0.116999998688698,0.648000001907349,0.0500000007450581,"M1",0.27,0.15
0.834999978542328,0.123999997973442,0.667999982833862,0.0560000017285347,"M1",0.37,0.2
0.425999999046326,0.0260000005364418,NA,0,"M1",0.01,0.1
0.569999992847443,0.194000005722046,0.351000010967255,0.127000004053116,"M1",0.14,0.23
0.646000027656555,0.224000006914139,0.402999997138977,0.158999994397163,"M1",0.1,0.28
NA,0,NA,0,"S1",0.01,0.13
0.0850000008940697,0.0759999975562096,0.119999997317791,0.0570000000298023,"S1",0.01,0.73
0.456000000238419,0.425999999046326,0.495999991893768,0.40599998831749,"S1",0.19,1.06
NA,0,NA,0,"S1",0.01,0.16
1.05299997329712,0.221000000834465,1.06200003623962,0.223000004887581,"S1",0.38,0.53
1.13999998569489,0.231000006198883,1.14999997615814,0.232999995350838,"S1",0.69,0.61
NA,0,NA,0,"S1",0.16,0.19
0.846000015735626,0.0930000022053719,0.867999970912933,0.0970000028610229,"S1",0.69,0.37
1.22699999809265,0.189999997615814,1.24300003051758,0.194000005722046,"S1",1.2,0.55
0.179000005125999,0.180999994277954,0.184000000357628,0.184000000357628,"S1",0.01,0.11
0.24600000679493,0.556999981403351,0.250999987125397,0.560999989509583,"S1",0.27,0.53
0.216000005602837,0.495999991893768,0.221000000834465,0.499000012874603,"S1",0.33,0.66
0.00700000021606684,1.89300000667572,0.0579999983310699,0.0740000009536743,"S2",0.02,0.24
0.0320000015199184,2.5090000629425,0.187000006437302,0.690999984741211,"S2",0.16,0.76
0.0109999999403954,2.67700004577637,0.193000003695488,0.857999980449677,"S2",0.19,0.91
0.0640000030398369,1.81900000572205,NA,0,"S2",0.01,0.16
0.0439999997615814,2.18099999427795,0.603999972343445,0.360000014305115,"S2",0.19,0.46
0.0270000007003546,2.34100008010864,0.711000025272369,0.521000027656555,"S2",0.36,0.68
0.0309999994933605,0.986999988555908,NA,0,"S2",0.22,0.18
0.0419999994337559,1.27799999713898,0.813000023365021,0.0540000014007092,"S2",0.66,0.34
0.0509999990463257,1.41299998760223,0.99099999666214,0.133000001311302,"S2",1.13,0.55
0.0729999989271164,0.101000003516674,NA,0,"S2",0.01,0.33
0.141000002622604,0.50900000333786,0.379999995231628,0.354999989271164,"S2",0.33,0.77
0.155000001192093,0.674000024795532,0.426999986171722,0.519999980926514,"S2",0.33,0.82
0.763000011444092,0.229000002145767,NA,0,"VR3",0.29,0.32
1.07400000095367,0.605000019073486,0.319000005722046,0.221000000834465,"VR3",0.68,0.7
1.17299997806549,0.763000011444092,0.389999985694885,0.379000008106232,"VR3",0.74,0.81
1.09200000762939,0.312000006437302,NA,0,"VR3",0.05,0.23
1.30099999904633,0.455000013113022,0.23199999332428,0.108000002801418,"VR3",0.45,0.35
1.5,0.617999970912933,0.776000022888184,0.254000008106232,"VR3",0.7,0.64
0.263999998569489,0.347000002861023,NA,0,"VR3",0.43,0.23
1.16999995708466,0.474999994039536,0.12899999320507,0.034000001847744,"VR3",1.04,0.43
1.61500000953674,0.690999984741211,0.500999987125397,0.238999992609024,"VR3",1.63,0.51
0.546000003814697,0.52700001001358,0.108999997377396,0.0500000007450581,"VR3",0.35,0.31
0.828999996185303,0.906000018119812,0.374000012874603,0.435000002384186,"VR3",0.98,0.63
0.953000009059906,1.02900004386902,0.425000011920929,0.555999994277954,"VR3",1,0.83
