,X,Y,Facies,Porosity,Perm,AI
304,110,229,0,0.091247782,1.988192855,5239.936189
306,240,809,1,0.168329664,323.3185141,4009.602579
309,950,59,1,0.15816998,52.34672386,4004.352923
311,130,599,1,0.155174771,81.14241842,3524.119959
315,280,789,1,0.158660217,356.1827882,4149.525421
320,330,319,0,0.100148862,4.667174979,5721.658842
321,890,269,1,0.132431343,6.758139679,4186.286197
324,360,639,1,0.1708804,667.0673361,4649.520961
325,870,429,0,0.079387543,1.123563683,5794.963673
326,450,829,1,0.121511247,17.51052903,4433.985796
328,620,259,0,0.102592652,3.197256461,5130.815152
329,870,49,1,0.144306875,10.82069946,4475.661934
330,340,589,1,0.184602241,765.0222507,4927.183097
331,280,799,1,0.161938243,395.7178572,4212.827564
332,280,929,1,0.123152592,30.20601114,5103.981137
334,160,579,1,0.156645427,71.67378271,3180.807532
335,950,99,1,0.174670694,88.24163227,5689.41544
336,560,189,0,0.094791782,1.517268571,5918.572431
337,830,559,0,0.10535223,3.970239052,4396.1913
338,200,999,0,0.120733572,8.925149865,5114.881659
340,840,729,0,0.12186281,1.110405049,4502.182571
342,870,819,0,0.099367501,0.400079138,3663.48805
343,100,359,1,0.107367584,1.842103411,5577.387475
344,940,949,0,0.102437385,0.95615236,4105.074357
345,440,929,1,0.136260599,49.98841162,4812.167368
347,900,109,1,0.172168407,52.27304256,4354.446742
348,390,879,1,0.152058104,156.8285556,4499.028045
349,40,899,0,0.103548309,1.752144334,5637.990438
350,730,179,1,0.120533189,5.301363778,4493.640123
352,400,299,0,0.089227108,1.247316717,6115.214286
353,600,29,1,0.127521509,30.08634417,5766.104448
355,810,659,0,0.106556816,1.123995384,3852.669561
360,30,379,1,0.116962458,2.874144762,3562.727498
361,770,699,0,0.10337043,0.472603106,5353.230785
362,320,829,1,0.180336229,957.4267481,4427.866875
363,310,219,0,0.069584308,0.434025125,6949.553872
364,620,159,1,0.134281734,17.44562493,5003.077228
367,620,119,1,0.128762021,19.92304613,5023.316026
