"","Sampling_site","Transect_Kick","join_key","PORIFERA","CNIDARIA","BRYOZOA","BRYOZOA","PLATYHELMINTHES","PLATYHELMINTHES_Dendrocoelidae","PLATYHELMINTHES_Dugesiidae","PLATYHELMINTHES_Planariidae","""NEMATHELMINTHES""","""NEMATHELMINTHES""","ANNELIDA","Hirudinea","Hirudinea_Erpobdellidae","Hirudinea_Glossiphoniidae","Hirudinea_Hirudidae_(Tachet)","Hirudinea_Piscicolidae","Hirudinea","Oligochaeta","Oligochaeta","MOLLUSCA","Gastropoda","Gastropoda_Acroloxidae","Gastropoda_Ancylidae_(Tachet)","Gastropoda_Bithyniidae","Gastropoda_Ferrissiidae_(Tachet)","Gastropoda_Hydrobiidae","Gastropoda_Lymnaeidae","Gastropoda_Neritidae","Gastropoda_Physidae","Gastropoda_Planorbidae","Gastropoda_Valvatidae","Gastropoda_Viviparidae","Gastropoda_Potamopyrgus_antipodarum","Bivalvia","Bivalvia_Corbiculidae*","Bivalvia_Dreissenidae*","Bivalvia_Sphaeriidae","Bivalvia_Unionidae","Bivalvia","ARTHROPODA","Arachnida_(Inf.-Cl.)_Acari","Arachnida_(Inf.-Cl.)_Acari_Hydracarina","Crustacea","Ostracoda","Copepoda","Amphipoda","Amphipoda_Corophiidae*","Amphipoda_Gammaridae","Amphipoda_Niphargidae","Isopoda","Isopoda_Asellidae","Isopoda_Janiridae*","Mysida","Mysida_Mysidae*","Decapoda","Decapoda_Astacidae","Decapoda_Cambaridae*","Insecta","Ephemeroptera","Ephemeroptera_Ameletidae","Ephemeroptera_Baetidae","Ephemeroptera_Caenidae","Ephemeroptera_Ephemerellidae","Ephemeroptera_Ephemeridae","Ephemeroptera_Heptageniidae","Ephemeroptera_Leptophlebiidae","Ephemeroptera_Oligoneuriidae","Ephemeroptera_Polymitarcyidae","Ephemeroptera_Potamanthidae","Ephemeroptera_Siphlonuridae","Odonata","Odonata_Aeshnidae","Odonata_Calopterygidae","Odonata_Coenagrionidae","Odonata_Cordulegastridae","Odonata_Corduliidae","Odonata_Gomphidae","Odonata_Lestidae","Odonata_Libellulidae","Odonata_Platycnemididae","Plecoptera","Plecoptera_Capniidae","Plecoptera_Chloroperlidae","Plecoptera_Leuctridae","Plecoptera_Nemouridae","Plecoptera_Perlidae","Plecoptera_Perlodidae","Plecoptera_Taeniopterygidae","Heteroptera","Heteroptera_Aphelocheiridae","Heteroptera_Corixidae","Heteroptera_Gerridae","Heteroptera_Hebridae","Heteroptera_Hydrometridae","Heteroptera_Mesoveliidae","Heteroptera_Naucoridae","Heteroptera_Nepidae","Heteroptera_Notonectidae","Heteroptera_Pleidae","Heteroptera_Veliidae","Heteroptera_PUPPE:_Heteroptera","Megaloptera","Megaloptera_Sialidae","Neuroptera","Neuroptera_Osmylidae","Neuroptera_Sisyridae","Coleoptera","Coleoptera_Curculionidae","Coleoptera_Chrysomelidae","Coleoptera_Dryopidae","Coleoptera_Dytiscidae","Coleoptera_Elmidae_(Larve)","Coleoptera_Elmidae_(adult)","Coleoptera_Elmis_sp.","Coleoptera_Elmis_sp._(adult)","Coleoptera_Esolus_sp.","Coleoptera_Esolus_sp._(adult)","Coleoptera_Limnius_sp._","Coleoptera_Limnius_sp.__(adult)","Coleoptera_Oulimnius_sp.","Coleoptera_Riolus_sp.","Coleoptera_Gyrinidae","Coleoptera_Haliplidae","Coleoptera_Helophoridae_(Tachet)","Coleoptera_Hydraenidae","Coleoptera_Hydrochidae_(Tachet)","Coleoptera_Hydrophilidae","Coleoptera_Hydroscaphidae","Coleoptera_Hygrobiidae","Coleoptera_Noteridae","Coleoptera_Psephenidae","Coleoptera_Scirtidae","Coleoptera_Spercheidae_(Tachet)","Trichoptera","Trichoptera_Apataniidae","Trichoptera_Beraeidae","Trichoptera_Brachycentridae","Trichoptera_Ecnomidae","Trichoptera_Glossosomatidae","Trichoptera_Goeridae","Trichoptera_Helicopsychidae","Trichoptera_Hydropsychidae","Trichoptera_Hydroptilidae","Trichoptera_Lepidostomatidae","Trichoptera_Leptoceridae","Trichoptera_Limnephilidae","Trichoptera_Molannidae","Trichoptera_Odontoceridae","Trichoptera_Philopotamidae","Trichoptera_Phryganeidae","Trichoptera_Polycentropodidae","Trichoptera_Psychomyiidae","Trichoptera_Ptilocolepidae","Trichoptera_Rhyacophilidae","Trichoptera_Sericostomatidae","Trichoptera_PUPPE:_Rhyacophilidae","Trichoptera_PUPPE:_Trichoptera","Lepidoptera","Diptera","Diptera_Anthomyiidae/Muscidae","Diptera_Athericidae","Diptera_Atherix_ibis","Diptera_Ibisia_marginata","Diptera_Blephariceridae","Diptera_Blephericera_sp.","Diptera_Hapalothrix_sp.","Diptera_Liponeura_sp.","Diptera_Ceratopogonidae","Diptera_Chaoboridae","Diptera_Chironomidae","Diptera_sF._Diamesinae","Diptera_sF._Orthocladiinae","Diptera_sF._Tanypodinae","Diptera_Tr._Tanytarsini","Diptera_Tr._Chironomini","Diptera_Pseudodiamesa_sp.","Diptera_Culicidae","Diptera_Cylindrotomidae","Diptera_Dixidae","Diptera_Dolichopodidae","Diptera_Empididae","Diptera_Ephydridae","Diptera_Limoniidae/Pediciidae","Diptera_Antocha_sp._","Diptera_Dicranota_sp.","Diptera_Eloeophila_sp.","Diptera_Hexatoma_sp._","Diptera_Molophilus_sp.","Diptera_Rhabdomastix_sp.","Diptera_Rhypholophus_sp.","Diptera_Psychodidae","Diptera_Ptychopteridae","Diptera_Rhagionidae","Diptera_Scathophagidae","Diptera_Sciomyzidae","Diptera_Simuliidae","Diptera_Stratiomyidae","Diptera_Syrphidae","Diptera_Tabanidae","Diptera_Thaumaleidae","Diptera_Tipulidae","Diptera_PUPPE:_Chironomidae/Diptera","Diptera_PUPPE:_Simuliidae"
"X202","SA2","3-1","SA2-3-1",NA,NA,NA,NA,"19",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"232",NA,NA,NA,"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","2","3","2","3",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"5",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"791","22","734",NA,"35",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"38",NA
"X203","SA2","3-2","SA2-3-2",NA,NA,NA,NA,"14",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"308",NA,NA,NA,"117","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","29","5",NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","11","12","3","2","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","1",NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"853","5","819",NA,"29",NA,NA,NA,NA,NA,NA,"3",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162",NA,NA,NA,NA,NA,"60","3"
"X204","SA2","3-3","SA2-3-3",NA,NA,NA,NA,"12",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166",NA,NA,NA,"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","9","7",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","3","2","2","1","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,"1",NA,"332",NA,"283","6","43",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120",NA,NA,NA,NA,NA,"10","2"
"X205","SA2","4-1","SA2-4-1",NA,NA,NA,NA,"12",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"127",NA,"1",NA,"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","1","1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"1090",NA,"1075",NA,"15",NA,NA,NA,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"15",NA
"X206","SA2","4-2","SA2-4-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"181",NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","2","10","2",NA,NA,"2",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"5",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"462",NA,"442","3","17",NA,NA,NA,NA,NA,NA,"1",NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"19",NA
"X207","SA2","4-3","SA2-4-3",NA,NA,NA,NA,"9",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"5",NA,NA,"95",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"516",NA,"2",NA,"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","20","2",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","2","3","2","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"3",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"409","2","375",NA,"32",NA,NA,NA,NA,NA,NA,"2",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,"36",NA
"X208","SA6","1-1","SA6-1-1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"365","44","321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA
"X209","SA6","1-2","SA6-1-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"3",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"429","105","323",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4"
"X210","SA6","1-3","SA6-1-3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"0",NA,NA,NA,NA,NA,"23","5","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"X211","SA6","2-1","SA6-2-1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71",NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","0","1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"1143","215","920",NA,"8",NA,NA,NA,NA,NA,NA,"6",NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"24","5"
"X212","SA6","2-2","SA6-2-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","32",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"86","20","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"X213","SA6","2-3","SA6-2-3",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"164","34","127",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"4",NA
"X214","SA6","3-1","SA6-3-1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"152",NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","3",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"410","25","372",NA,"13",NA,NA,NA,NA,NA,NA,"4",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"15","7"
"X215","SA6","3-2","SA6-3-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"79","14","65",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,"6",NA
"X216","SA6","3-3","SA6-3-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","63",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","0",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"226","58","166","1","1",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,"7",NA
"X217","SA6","4-1","SA6-4-1",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"1",NA,NA,"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87",NA,"2","9","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","16","7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","0","48",NA,"6",NA,"20",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","1",NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,"9","12",NA,NA,NA,NA,NA,"1","1",NA,"0",NA,NA,NA,NA,NA,"1555","48","1197","2","308",NA,NA,NA,NA,NA,NA,"22",NA,"6","3","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","70",NA
"X218","SA6","4-2","SA6-4-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","65",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"18","3","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,"6",NA
