River;River type;Hydropeaking, residual flow, natural/near-natural;Study site (Untersuchungsstelle);KW;Catchment at KW-outlet [km²];Catchment size from study site [km²];Unaffected Mean Flow at KW-outlet [m³/s];Unaffected Mean Flow at study site [m³/s];Discharge from FGT [m³/s];IBCHQREGIM;Ecomorphological Class;Strahler order;Altitude KW [m.a.s.l.];Altitude study site [m.a.s.l.];Distance of study site to KW [km];Number of tributaries [nr];(Upstream) Distance between consecutive study areas [m];Number of tributaries [nr/km];Longitudinal Slope (mean) at study site [‰];Transversal Slope (mean) at study site [‰];Transversal Slope (st.dev.) at study site [‰];Glacier Cover [%];Agricultural Areas [%] - Sum of a, o, v, h;Settlement areas [%];Number of inhabitants;Domestic wastewater discharge;Geology;BIOGEO;Mean diffuse total nitrogen [kg/ha a];Mean diffuse total phosphor [kg/ha a]
Vorderrhein;3b;Hydropeaking;VR1;Ladral;619.48;1487.908;-;-;52.597332;5;2;7;740;603.5231667;23;3;9063;0.331;4.331991612;51.8722945;31.37694042;1.72;0.24;1.77;22336.00;96.94;karbonatisch;Eastern Central Alps;5.07;0.620899021
Vorderrhein;3b;Hydropeaking;VR1;Ilanz ;770.35;1487.908;-;-;52.597332;5;2;7;694;603.5231667;16.74;3;9063;0.331;4.331991612;51.8722945;31.37694042;1.72;0.24;1.77;22336.00;96.94;karbonatisch;Eastern Central Alps;5.07;0.620899021
Vorderrhein;3b;Hydropeaking;VR1;Bargaus;1230.98;1487.908;-;-;52.597332;5;2;7;655.9;603.5231667;9.62;3;9063;0.331;4.331991612;51.8722945;31.37694042;1.72;0.24;1.77;22336.00;96.94;karbonatisch;Eastern Central Alps;5.07;0.620899021
Vorderrhein;3b;Hydropeaking;VR1;Pintrun;1486.86;1487.908;-;-;52.597332;5;2;7;607;603.5231667;0.53;3;9063;0.331;4.331991612;51.8722945;31.37694042;1.72;0.24;1.77;22336.00;96.94;karbonatisch;Eastern Central Alps;5.07;0.620899021
Vorderrhein;3b;Hydropeaking;VR2;Frisal ;599.52;1233.322;-;-;46.20006561;5;1;7;764;653.3934167;18.03;1;4026;0.248;5.549574383;100.2752944;74.31608067;2.01;0.22;1.75;19449.00;84.41;karbonatisch;Eastern Central Alps;5.09;0.673013163
Vorderrhein;3b;Hydropeaking;VR2;Ladral;619.48;1233.322;-;-;46.20006561;5;1;7;740;653.3934167;14.01;1;4026;0.248;5.549574383;100.2752944;74.31608067;2.01;0.22;1.75;19449.00;84.41;karbonatisch;Eastern Central Alps;5.09;0.673013163
Vorderrhein;3b;Hydropeaking;VR2;Ilanz ;770.35;1233.322;-;-;46.20006561;5;1;7;694;653.3934167;7.74;1;4026;0.248;5.549574383;100.2752944;74.31608067;2.01;0.22;1.75;19449.00;84.41;karbonatisch;Eastern Central Alps;5.09;0.673013163
Vorderrhein;3b;Hydropeaking;VR2;Bargaus;1230.98;1233.322;-;-;46.20006561;5;1;7;655.9;653.3934167;0.62;1;4026;0.248;5.549574383;100.2752944;74.31608067;2.01;0.22;1.75;19449.00;84.41;karbonatisch;Eastern Central Alps;5.09;0.673013163
Vorderrhein;3b;Hydropeaking;VR2;Pintrun;1486.86;1233.322;-;-;46.20006561;5;1;7;607;653.3934167;-8.47;1;4026;0.248;5.549574383;100.2752944;74.31608067;2.01;0.22;1.75;19449.00;84.41;karbonatisch;Eastern Central Alps;5.09;0.673013163
Vorderrhein;3b;Hydropeaking;VR3;Frisal ;599.52;1182;-;-;43.93698883;5;1;7;764;671.8723333;14.13;4;5344;0.748;7.033072152;57.65661766;12.57637012;2.05;0.17;1.60;19449.00;84.41;karbonatisch;Eastern Central Alps;5.00;0.676068382
Vorderrhein;3b;Hydropeaking;VR3;Ladral;619.48;1182;-;-;43.93698883;5;1;7;740;671.8723333;10.1;4;5344;0.748;7.033072152;57.65661766;12.57637012;2.05;0.17;1.60;19449.00;84.41;karbonatisch;Eastern Central Alps;5.00;0.676068382
Vorderrhein;3b;Hydropeaking;VR3;Ilanz ;770.35;1182;-;-;43.93698883;5;1;7;694;671.8723333;3.84;4;5344;0.748;7.033072152;57.65661766;12.57637012;2.05;0.17;1.60;19449.00;84.41;karbonatisch;Eastern Central Alps;5.00;0.676068382
Vorderrhein;3b;Hydropeaking;VR3;Bargaus;1230.98;1182;-;-;43.93698883;5;1;7;655.9;671.8723333;-3.28;4;5344;0.748;7.033072152;57.65661766;12.57637012;2.05;0.17;1.60;19449.00;84.41;karbonatisch;Eastern Central Alps;5.00;0.676068382
Vorderrhein;3b;Hydropeaking;VR3;Pintrun;1486.86;1182;-;-;43.93698883;5;1;7;607;671.8723333;-12.38;4;5344;0.748;7.033072152;57.65661766;12.57637012;2.05;0.17;1.60;19449.00;84.41;karbonatisch;Eastern Central Alps;5.00;0.676068382
Vorderrhein;3b;Hydropeaking;VR4;Frisal ;599.52;766.1085;-;-;30.17320061;5;3;6;764;700.69;8.66;4;7625;0.525;8.133672661;60.76592415;58.21620574;2.57;0.10;1.56;8704.00;37.78;karbonatisch;Eastern Central Alps;5.14;0.830871733
Vorderrhein;3b;Hydropeaking;VR4;Ladral;619.48;766.1085;-;-;30.17320061;5;3;6;740;700.69;4.64;4;7625;0.525;8.133672661;60.76592415;58.21620574;2.57;0.10;1.56;8704.00;37.78;karbonatisch;Eastern Central Alps;5.14;0.830871733
Vorderrhein;3b;Hydropeaking;VR4;Ilanz ;770.35;766.1085;-;-;30.17320061;5;3;6;694;700.69;-1.63;4;7625;0.525;8.133672661;60.76592415;58.21620574;2.57;0.10;1.56;8704.00;37.78;karbonatisch;Eastern Central Alps;5.14;0.830871733
Vorderrhein;3b;Hydropeaking;VR4;Bargaus;1230.98;766.1085;-;-;30.17320061;5;3;6;655.9;700.69;-8.75;4;7625;0.525;8.133672661;60.76592415;58.21620574;2.57;0.10;1.56;8704.00;37.78;karbonatisch;Eastern Central Alps;5.14;0.830871733
Vorderrhein;3b;Hydropeaking;VR4;Pintrun;1486.86;766.1085;-;-;30.17320061;5;3;6;607;700.69;-17.84;4;7625;0.525;8.133672661;60.76592415;58.21620574;2.57;0.10;1.56;8704.00;37.78;karbonatisch;Eastern Central Alps;5.14;0.830871733
Vorderrhein;3b;Hydropeaking;VR5;Frisal ;599.52;601.2276;-;-;24.21418953;5;1;6;764;757.4673333;1.06;1;2029;0.493;5.075049035;36.30940973;15.93251813;2.56;0.06;1.35;6818.00;29.59;karbonatisch;Eastern Central Alps;4.90;0.867288616
Vorderrhein;3b;Hydropeaking;VR5;Ladral;619.48;601.2276;-;-;24.21418953;5;1;6;740;757.4673333;-2.97;1;2029;0.493;5.075049035;36.30940973;15.93251813;2.56;0.06;1.35;6818.00;29.59;karbonatisch;Eastern Central Alps;4.90;0.867288616
Vorderrhein;3b;Hydropeaking;VR5;Ilanz ;770.35;601.2276;-;-;24.21418953;5;1;6;694;757.4673333;-9.23;1;2029;0.493;5.075049035;36.30940973;15.93251813;2.56;0.06;1.35;6818.00;29.59;karbonatisch;Eastern Central Alps;4.90;0.867288616
Vorderrhein;3b;Hydropeaking;VR5;Bargaus;1230.98;601.2276;-;-;24.21418953;5;1;6;655.9;757.4673333;-16.35;1;2029;0.493;5.075049035;36.30940973;15.93251813;2.56;0.06;1.35;6818.00;29.59;karbonatisch;Eastern Central Alps;4.90;0.867288616
Vorderrhein;3b;Hydropeaking;VR5;Pintrun;1486.86;601.2276;-;-;24.21418953;5;1;6;607;757.4673333;-25.45;1;2029;0.493;5.075049035;36.30940973;15.93251813;2.56;0.06;1.35;6818.00;29.59;karbonatisch;Eastern Central Alps;4.90;0.867288616
Vorderrhein;-;Residual flow;VR6;Frisal ;599.52;569.3552;-;-;23.23808479;5;3;6;764;776.2258333;-0.95;2;5000;0.400;19.82068587;43.13072454;36.55841717;2.71;0.05;1.30;5624.00;24.41;karbonatisch;Eastern Central Alps;4.93;0.905098377
Vorderrhein;-;Residual flow;VR6;Ladral;619.48;569.3552;-;-;23.23808479;5;3;6;740;776.2258333;-4.98;2;5000;0.400;19.82068587;43.13072454;36.55841717;2.71;0.05;1.30;5624.00;24.41;karbonatisch;Eastern Central Alps;4.93;0.905098377
Vorderrhein;-;Residual flow;VR6;Ilanz ;770.35;569.3552;-;-;23.23808479;5;3;6;694;776.2258333;-11.24;2;5000;0.400;19.82068587;43.13072454;36.55841717;2.71;0.05;1.30;5624.00;24.41;karbonatisch;Eastern Central Alps;4.93;0.905098377
Vorderrhein;-;Residual flow;VR6;Bargaus;1230.98;569.3552;-;-;23.23808479;5;3;6;655.9;776.2258333;-18.36;2;5000;0.400;19.82068587;43.13072454;36.55841717;2.71;0.05;1.30;5624.00;24.41;karbonatisch;Eastern Central Alps;4.93;0.905098377
Vorderrhein;-;Residual flow;VR6;Pintrun;1486.86;569.3552;-;-;23.23808479;5;3;6;607;776.2258333;-27.45;2;5000;0.400;19.82068587;43.13072454;36.55841717;2.71;0.05;1.30;5624.00;24.41;karbonatisch;Eastern Central Alps;4.93;0.905098377
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moesa;2b;Hydropeaking;M1;;;;Hydrologisches Atlas?;Daten fehlen für stark durch SS beeinträchtigten Flüsse (SA, VR, etc);;;;;;;Als Minuswert für RW;;;;;;;;;;;;;;;
kommentar anto;ok;ok;ok;ok;welche Fläche wird damit genau gemeint?;natürliche einzugsgebiete aus hydrologische analyse des DHM25. Immer das grösste EZG genommen (unterste proben);"Produkt: Mittlere simulierte natürliche jährliche und monatliche Abflüsse (MQ) und Abflussregimetypen für die mittelgrossen Gewässer des Gewässernetzes (GWN) der Schweiz (CH); Stand Jahr 2013!";"Produkt: Mittlere simulierte natürliche jährliche und monatliche Abflüsse (MQ) und Abflussregimetypen für die mittelgrossen Gewässer des Gewässernetzes (GWN) der Schweiz (CH); Stand Jahr 2013!";;;Daten fehlen für die Saane, Thur und Verzasca;;gemäss swissALTI3d, abgefragt von map.geo.admin;calculated as mean of z coordinates of all GPS points belonging to a study site;"berechnet in ArcGis mit dem linear referencing toolbox für jeden beprobungsstandort. Resultate in der Excel-Tabelle ""distance_Along_line.csv""";;;;"Berechnet jeweils zwischen den Proben ""*-4-2"" und ""*-1-2"" ";"L3-2 hat nur zwei punkte, daher delta_z als ""L3-2-1"" - ""L3-2-2"" berechnet, sonst immer ""*-*-1"" - ""*-*-3""; z_coord vom Punkt GL5-2-3 ist fehlerhaft (grosse ungenauigkeit). Z_coord von Punkt S1-1-1 ist auch fehlerhaft. Für diese Punkte wurde das slope mit den zwei übrigen Punkte berechnet.";;Gletschenbedeckung von der Arealstatistik 2018 (Klasse 17 von der Aufteilung auf 1 Klassen);Landwirtschaftsflächen aus der Arealstatistik 2018 (Klassen 6 (Obst-, Reb- und Gartenbauflächen) und 7 (Ackerland) aus der Aufteilung in 17 Klassen gemäss Standardnomenklatur der Arealstatistik 2013/18 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;dargestellt wird der mittelwert aus den tranversalen slopes für jeden Transekt. Evt würde auch die st.Abw. Sinn machen, als Proxy der Streuung der Daten;;;;;;;;;;
