River;River type;Hydropeaking, residual flow, natural/near-natural;Study site (Untersuchungsstelle);KW;Catchment at KW-outlet [km²];Catchment size from study site [km²];Unaffected Mean Flow at KW-outlet [m³/s];Unaffected Mean Flow at study site [m³/s];Discharge from FGT [m³/s];IBCHQREGIM;Ecomorphological Class;Strahler order;Altitude KW [m.a.s.l.];Altitude study site [m.a.s.l.];Distance of study site to KW [km];Number of tributaries [nr];(Upstream) Distance between consecutive study areas [m];Number of tributaries [nr/km];Longitudinal Slope (mean) at study site [‰];Transversal Slope (mean) at study site [‰];Transversal Slope (st.dev.) at study site [‰];Glacier Cover [%];Agricultural Areas [%] - Sum of a, o, v, h;Settlement areas [%];Number of inhabitants;Domestic wastewater discharge;Geology;BIOGEO;Mean diffuse total nitrogen [kg/ha a];Mean diffuse total phosphor [kg/ha a]
Moesa;2b;Hydropeaking;M7;Lostallo;183.7;473.8317732;-;-;19.69907379;14;3;5;432.7;237.4014167;19.43;0;5931;0.000;1.865111073;19.25094465;1.805595399;0.10;0.27;2.34;2729.00;11.84;karbonatisch;Southern Alps;6.70;0.448602312
Moesa;2b;Hydropeaking;M7;Grono;267.72;473.8317732;-;-;19.69907379;14;3;5;309;237.4014167;9.01;0;5931;0.000;1.865111073;19.25094465;1.805595399;0.10;0.27;2.34;2729.00;11.84;karbonatisch;Southern Alps;6.70;0.448602312
Moesa;2b;Hydropeaking;M7;Sassello;444.9;473.8317732;-;-;19.69907379;14;3;5;278.7;237.4014167;6.08;0;5931;0.000;1.865111073;19.25094465;1.805595399;0.10;0.27;2.34;2729.00;11.84;karbonatisch;Southern Alps;6.70;0.448602312
Moesa;-;Residual flow;MR;Soazza;152.05;151.1754402;-;-;6.541863918;13;3;5;470;472.3935833;-0.29;5;5000;1.000;17.4328885;77.78769285;21.59083041;0.08;0.09;1.81;266.00;1.15;karbonatisch;Southern Alps;6.03;0.501152782
Moesa;-;Residual flow;MR;Lostallo;183.7;151.1754402;-;-;6.541863918;13;3;5;432.7;472.3935833;-2.44;5;5000;1.000;17.4328885;77.78769285;21.59083041;0.08;0.09;1.81;266.00;1.15;karbonatisch;Southern Alps;6.03;0.501152782
Moesa;-;Residual flow;MR;Grono;267.72;151.1754402;-;-;6.541863918;13;3;5;309;472.3935833;-12.86;5;5000;1.000;17.4328885;77.78769285;21.59083041;0.08;0.09;1.81;266.00;1.15;karbonatisch;Southern Alps;6.03;0.501152782
Moesa;-;Residual flow;MR;Sassello;444.9;151.1754402;-;-;6.541863918;13;3;5;278.7;472.3935833;-15.77;5;5000;1.000;17.4328885;77.78769285;21.59083041;0.08;0.09;1.81;266.00;1.15;karbonatisch;Southern Alps;6.03;0.501152782
Plessur;3a;Hydropeaking;P1;Litzirüti;60.71;65.19109;2.32;2.3199999;2.319999933;6;1;5;1399;1381.813417;0.36;1;416;2.402;35.96009751;38.84876238;47.30664017;0.03;0.00;2.74;2049.00;8.89;karbonatisch;Eastern Central Alps;3.80;0.214625311
Plessur;3a;Hydropeaking;P2;Litzirüti;60.71;133.6655;2.32;4.4499998;4.449999809;6;1;6;1399;1040.1615;6.63;2;4067;0.492;13.89021274;131.2664773;77.8608789;0.01;0.00;1.90;2358.00;10.23;karbonatisch;Eastern Central Alps;4.01;0.196908242
Plessur;3a;Hydropeaking;P3;Litzirüti;60.71;113.1127;2.32;3.9100001;3.910000086;6;1;6;1399;1228.99775;2.58;2;2223;0.900;22.98498841;182.3157255;63.81775206;0.02;0.00;1.94;2358.00;10.23;karbonatisch;Eastern Central Alps;3.94;0.205172484
Plessur;-;Residual flow;PR;Litzirüti;60.71;59.03349;2.32;2.05;2.049999952;6;1;5;1399;1399.102833;-0.06;4;5000;0.800;37.86435421;54.10660934;80.92736131;0.02;0.00;2.94;2049.00;8.89;karbonatisch;Eastern Central Alps;3.76;0.218021248
Sitter;2b;Hydropeaking;S1;Kubel;256.61;269.7738;10.68;10.6800003;10.68000031;8;2;6;587;585.8313333;0.37;1;1905;0.525;4.676346501;52.87522961;16.51977658;0.10;0.24;6.46;28662.00;124.40;karbonatisch;Northern Alps;11.17;1.352706565
Sitter;2b;Hydropeaking;S2;Kubel;256.61;287.1519;10.68;10.90250015;10.93000031;8;2;6;587;562.59975;4.96;1;4548;0.220;7.310758382;66.77229471;20.86740947;0.10;0.31;8.65;66538.00;288.79;karbonatisch;Central Plateau;11.29;1.293177637
Sitter;2b;Hydropeaking;S3;Kubel;256.61;295.3257;10.68;11.06750003;11.07999992;8;1;6;587;552.2365833;7.85;1;2839;0.352;10.36002279;24.81362038;13.54138095;0.09;0.36;9.00;66538.00;288.79;karbonatisch;Central Plateau;11.32;1.269700643
Sitter;2b;Hydropeaking;S4;Kubel;256.61;338.7833;10.68;11.6999998;11.69999981;8;2;6;587;475.7245833;27.24;3;14938;0.201;3.391377371;59.66262356;26.28359973;0.08;2.13;9.26;66538.00;288.79;karbonatisch;Central Plateau;11.90;1.167684466
Thur;2b;Hydropeaking;S5;Kubel;256.61;1101.729;10.68;-;37.84596252;9;2;7;587;457.8781667;32.52;2;5300;0.377;3.160761753;26.98638684;12.14920319;0.03;3.63;9.58;238516.00;1035.23;karbonatisch;Central Plateau;12.61;1.139419062
Sitter;2b;Hydropeaking;S6;Kubel;256.61;304.2429;10.68;11.1899996;11.18999958;8;-;6;587;531.2565;12.33;2;4476;0.447;10.38501425;36.45646568;48.96921552;0.09;0.50;9.24;66538.00;288.79;karbonatisch;Central Plateau;11.37;1.244827355
Saane;2a;Hydropeaking;SA1;Hauterive;980;1065.473;-;-;39.322052;8;-;7;566;561.4399167;1.87;1;1474;0.678;4.457022498;30.55510783;7.384856055;0.23;2.58;4.99;89517.00;388.53;karbonatisch;Central Plateau;8.91;0.586489757
Saane;2a;Hydropeaking;SA1;Oelberg;1270;1065.473;-;-;39.322052;8;-;7;531.8;561.4399167;-8.49;1;1474;0.678;4.457022498;30.55510783;7.384856055;0.23;2.58;4.99;89517.00;388.53;karbonatisch;Central Plateau;8.91;0.586489757
Saane;2a;Hydropeaking;SA1;Schiffenen;1406.22;1065.473;-;-;39.322052;8;-;7;484;561.4399167;-22.35;1;1474;0.678;4.457022498;30.55510783;7.384856055;0.23;2.58;4.99;89517.00;388.53;karbonatisch;Central Plateau;8.91;0.586489757
Saane;2a;Hydropeaking;SA2;Hauterive;980;1310.975;-;-;44.52481461;8;3;7;566;531.00325;10.8;2;2097;0.954;4.960084362;44.42998015;8.73081713;0.19;8.07;6.35;176695.00;766.91;karbonatisch;Central Plateau;11.41;0.559973233
Saane;2a;Hydropeaking;SA2;Oelberg;1270;1310.975;-;-;44.52481461;8;3;7;531.8;531.00325;0.43;2;2097;0.954;4.960084362;44.42998015;8.73081713;0.19;8.07;6.35;176695.00;766.91;karbonatisch;Central Plateau;11.41;0.559973233
Saane;2a;Hydropeaking;SA2;Schiffenen;1406.22;1310.975;-;-;44.52481461;8;3;7;484;531.00325;-13.38;2;2097;0.954;4.960084362;44.42998015;8.73081713;0.19;8.07;6.35;176695.00;766.91;karbonatisch;Central Plateau;11.41;0.559973233
Saane;2a;Hydropeaking;SA3;Hauterive;980;981.4477;-;-;37.59140778;8;-;7;566;564.4395;0.41;0;1160;0.000;14.90834631;26.85709964;11.38950541;0.25;1.89;4.65;69344.00;300.97;karbonatisch;Central Plateau;8.55;0.590278681
Saane;2a;Hydropeaking;SA3;Oelberg;1270;981.4477;-;-;37.59140778;8;-;7;531.8;564.4395;-9.96;0;1160;0.000;14.90834631;26.85709964;11.38950541;0.25;1.89;4.65;69344.00;300.97;karbonatisch;Central Plateau;8.55;0.590278681
Saane;2a;Hydropeaking;SA3;Schiffenen;1406.22;981.4477;-;-;37.59140778;8;-;7;484;564.4395;-23.77;0;1160;0.000;14.90834631;26.85709964;11.38950541;0.25;1.89;4.65;69344.00;300.97;karbonatisch;Central Plateau;8.55;0.590278681
Saane;2a;Hydropeaking;SA4;Hauterive;980;1259.935;-;-;43.5727005;8;-;7;566;552.6454167;5.06;1;3215;0.311;3.606769658;52.46272357;34.98684142;0.20;7.00;5.97;132484.00;575.02;karbonatisch;Central Plateau;10.94;0.563304018
Saane;2a;Hydropeaking;SA4;Oelberg;1270;1259.935;-;-;43.5727005;8;-;7;531.8;552.6454167;-5.31;1;3215;0.311;3.606769658;52.46272357;34.98684142;0.20;7.00;5.97;132484.00;575.02;karbonatisch;Central Plateau;10.94;0.563304018
Saane;2a;Hydropeaking;SA4;Schiffenen;1406.22;1259.935;-;-;43.5727005;8;-;7;484;552.6454167;-19.12;1;3215;0.311;3.606769658;52.46272357;34.98684142;0.20;7.00;5.97;132484.00;575.02;karbonatisch;Central Plateau;10.94;0.563304018
Saane;-;Residual flow;SA5;Hauterive;980;1263.593;-;-;43.67287445;8;-;7;566;536.2228333;8.69;0;3597;0.000;5.304224691;24.09698982;11.0196234;0.20;7.04;6.02;132484.00;575.02;karbonatisch;Central Plateau;10.96;0.562562878
Saane;-;Residual flow;SA5;Oelberg;1270;1263.593;-;-;43.67287445;8;-;7;531.8;536.2228333;-1.67;0;3597;0.000;5.304224691;24.09698982;11.0196234;0.20;7.04;6.02;132484.00;575.02;karbonatisch;Central Plateau;10.96;0.562562878
Saane;-;Residual flow;SA5;Schiffenen;1406.22;1263.593;-;-;43.67287445;8;-;7;484;536.2228333;-15.49;0;3597;0.000;5.304224691;24.09698982;11.0196234;0.20;7.04;6.02;132484.00;575.02;karbonatisch;Central Plateau;10.96;0.562562878
Saane;2a;Hydropeaking;SA6;Hauterive;980;1855.719;-;-;56.05610657;8;3;8;566;479.3288333;29.4;4;18702;0.214;2.64719967;39.17131254;17.5362074;0.13;12.52;6.87;262798.00;1140.62;karbonatisch;Central Plateau;13.24;0.5736776
Saane;2a;Hydropeaking;SA6;Oelberg;1270;1855.719;-;-;56.05610657;8;3;8;531.8;479.3288333;19.04;4;18702;0.214;2.64719967;39.17131254;17.5362074;0.13;12.52;6.87;262798.00;1140.62;karbonatisch;Central Plateau;13.24;0.5736776
Saane;2a;Hydropeaking;SA6;Schiffenen;1406.22;1855.719;-;-;56.05610657;8;3;8;484;479.3288333;5.22;4;18702;0.214;2.64719967;39.17131254;17.5362074;0.13;12.52;6.87;262798.00;1140.62;karbonatisch;Central Plateau;13.24;0.5736776
Saane;2a;Hydropeaking;SA7;Hauterive;980;1892.7;-;-;56.64403534;8;3;8;566;461.9914167;37.22;4;4247;0.942;4.419765491;30.1239423;18.78934799;0.13;13.05;6.94;262798.00;1140.62;karbonatisch;Central Plateau;13.40;0.571198012
Saane;2a;Hydropeaking;SA7;Oelberg;1270;1892.7;-;-;56.64403534;8;3;8;531.8;461.9914167;26.86;4;4247;0.942;4.419765491;30.1239423;18.78934799;0.13;13.05;6.94;262798.00;1140.62;karbonatisch;Central Plateau;13.40;0.571198012
Saane;2a;Hydropeaking;SA7;Schiffenen;1406.22;1892.7;-;-;56.64403534;8;3;8;484;461.9914167;13.04;4;4247;0.942;4.419765491;30.1239423;18.78934799;0.13;13.05;6.94;262798.00;1140.62;karbonatisch;Central Plateau;13.40;0.571198012
Saane;-;Residual flow;SAR;Hauterive;980;980.6;-;-;37.56163025;8;-;7;566;568.0939167;-0.76;0;5000;0.000;10.48966521;27.45264533;9.974869507;0.25;1.86;4.63;69344.00;300.97;karbonatisch;Central Plateau;8.54;0.590784144
Saane;-;Residual flow;SAR;Oelberg;1270;980.6;-;-;37.56163025;8;-;7;531.8;568.0939167;-11.12;0;5000;0.000;10.48966521;27.45264533;9.974869507;0.25;1.86;4.63;69344.00;300.97;karbonatisch;Central Plateau;8.54;0.590784144
