"reach","velocity","wd_m","x","y","shannon","abundance","k_index"
"SE2",1.02,0.72,2593843.894,1190567.701,2.69961677746584,143,0.455661340312104
"SE2",0.27,0.2,2593841.635,1190520.588,2.1004650372074,1121,0.625302457415258
"SE2",0.72,0.72,2593839.389,1190521.154,2.357781083057,197,0.397858415341016
"SE2",1.27,0.77,2593836.966,1190521.493,2.58569753575489,109,0.388496360772445
"SE2",0.34,0.14,2593853.866,1190468.077,1.90347594769208,1477,0.595011906651216
"SE2",0.96,0.21,2593849.455,1190459.648,2.67409865863274,857,0.626670793723145
"SE2",1.6,0.39,2593845.851,1190449.515,3.47872923995749,180,0.587276381138752
"SE2",0.08,0.13,2593866.86,1190445.103,1.67827891061567,1324,0.493206140975658
"SE2",0.67,0.27,2593862.495,1190441.769,2.15927040015351,1120,0.552291385154891
"SE2",0.83,0.42,2593858.665,1190438.631,2.60765450839877,567,0.590303160542634
"SE3",0.23,0.19,2593419.512,1192941.163,2.22339651726701,548,0.522959916101974
"SE3",0.75,0.28,2593430.906,1192942.477,1.78596100430716,658,0.372378110114507
"SE3",1.15,0.48,2593438.103,1192948.793,3.13913840288203,462,0.661584421067821
"SE3",0.47,0.25,2593455.692,1192916.222,2.51178800804094,853,0.576189637943708
"SE3",0.93,0.54,2593457.114,1192918.748,2.25909113267598,206,0.41027223646442
"SE3",1.25,0.61,2593459.257,1192920.619,2.37048248993066,105,0.352902351718395
"SE3",0.44,0.15,2593495.754,1192868.554,2.19165631480011,1362,0.58943623645961
"SE3",1.24,0.41,2593498.188,1192870.334,3.23922625602124,465,0.687907809577723
"SE3",1.9,0.58,2593501.814,1192870.92,2.64824294749372,152,0.399462977295515
"SE3",0.52,0.14,2593513.082,1192817.35,2.31477670266683,679,0.605209668465009
"SE3",0.42,0.22,2593517.525,1192818.308,2.45413669726547,1287,0.660323870619242
"SE3",0.72,0.25,2593523.038,1192818.953,2.32354326984466,523,0.442650593499029
"TH3",0.55,0.35,2723935.481,1248641.94,3.6228920609434,544,0.815273110943231
"TH3",0.72,0.61,2723935.274,1248640.253,3.86955569868316,460,0.768380619075975
"TH3",1.11,0.77,2723934.736,1248638.37,3.6696262852383,294,0.783799053649117
"TH3",0.02,0.24,2723957.039,1248641.044,2.36581546148875,639,0.603450083524443
"TH3",0.24,0.37,2723957.107,1248639.621,3.76565009298834,293,0.698568895690983
"TH3",1.26,0.82,2723955.193,1248636.637,3.39728645145083,381,0.717014854165669
"TH3",0.6,0.13,2724015.401,1248641.172,2.06021777143125,924,0.573041534701186
"TH3",0.77,0.18,2724016.992,1248638.749,3.17800806283412,632,0.716887559515787
"TH3",1.55,0.57,2724023.199,1248636.945,3.19767539873945,524,0.672040869326523
"TH3",0.41,0.19,2724020.836,1248650.786,3.73138858318088,602,0.785783115388965
"TH3",0.83,0.26,2724023.707,1248646.714,0.867534916047372,2800,0.590144356862224
"TH3",1.66,0.46,2724030.473,1248642.325,0.985737694180643,820,0.393745576106725
"TH4",0.47,0.21,2723680.137,1251227.285,3.06178024167516,293,0.622264309144527
"TH4",0.86,0.59,2723678.595,1251230.192,3.28970902856491,347,0.635338180225066
"TH4",1.38,0.92,2723679.53,1251233.764,2.28984793477539,118,0.391497435920639
"TH4",0.05,0.13,2723714.396,1251218.53,3.73939503437609,178,0.664419718531269
"TH4",0.36,0.31,2723714.528,1251220.822,3.11740651633625,141,0.530185514122141
"TH4",0.97,0.81,2723714.807,1251224.231,2.8565070092788,183,0.5411524651938
"TH4",0.77,0.15,2723758.413,1251202.765,2.1097781991074,639,0.530432188738932
"TH4",1.08,0.33,2723759.12,1251204.11,1.94742836774162,660,0.38964462460951
"TH4",1.83,0.7,2723762.152,1251206.974,2.83954211869184,293,0.547923268889923
"TH4",0.41,0.23,2723772.426,1251182.469,3.37491773719039,625,0.745615504850053
"TH4",1.16,0.36,2723774.21,1251188.505,2.60344462208699,646,0.577718624552916
"TH4",1.47,0.52,2723777.934,1251193.821,2.626451264192,378,0.55308318043141
