"Reach_Untersuchungsstelle","velocity","wd_m","x","y","shannon","abundance","k_index","rel_abundance","froude","shear_stress","stream_power"
"T1",0.62,0.49,2723272.918,1118956.483,2.647317576,399,0.59172576,0.1019678,0.282786808017673,15.9885974334332,9.91293040872859
"T1",0.72,0.83,2723280.564,1118953.247,1.107598721,136,0.284766543,0.034755942,0.252324224150337,12.7294596669225,9.16521096018423
"T1",0.05,0.27,2723285.605,1118997.002,1.376691856,371,0.427487792,0.094812165,0.0307222924227406,0.188711911357341,0.00943559556786704
"T1",0.2,0.69,2723291.038,1118991.26,1.550085018,243,0.407664348,0.06210069,0.0768724896362144,1.18150066241118,0.236300132482235
"T1",0.49,0.61,2723297.98,1118987.247,2.069052934,61,0.382194684,0.015589062,0.200307245493139,8.02205054266382,3.93080476590527
"T2",0.01,0.09,2723366.066,1120219.8,1.600355244,727,0.514265044,0.185790953,0.010642514280235,0.0226454293628809,0.000226454293628809
"T2",0.69,0.7,2723359.849,1120214.301,2.488081336,224,0.52914237,0.057245081,0.263308917139825,13.8619143252869,9.56472088444796
"T2",0.72,0.77,2723353.398,1120210.441,2.105587123,56,0.382864632,0.01431127,0.26197064546879,13.7213656149944,9.87938324279598
"T2",0.01,0.12,2723333.9,1120272.116,1.984647952,539,0.442801158,0.137745975,0.00921668772682218,0.0169840720221607,0.000169840720221607
"T2",0.19,0.53,2723329.101,1120269.815,2.175073132,136,0.407089945,0.034755942,0.0833261205118083,1.38820754716981,0.263759433962264
"T2",0.45,0.9,2723325.553,1120267.847,1.848298171,90,0.372894183,0.023000256,0.151445633203846,4.58569944598338,2.06356475069252
"T2",0.17,0.13,2723215.171,1120659.45,2.624494816,721,0.698449746,0.184257603,0.150536821369192,4.53082782868101,0.770240730875772
"T2",1.39,0.42,2723201.949,1120658.037,2.745936148,120,0.502571771,0.030667007,0.68478722747668,93.7569301543332,130.322132914523
"T2",1.35,0.36,2723184.903,1120657.462,2.777964132,39,0.408988608,0.009966777,0.718369713915864,103.178237534626,139.290620671745
"T2",0.01,0.16,2723219.139,1120698.461,2.995216214,421,0.641325879,0.107590084,0.00798188571017626,0.0127380540166205,0.000127380540166205
"T2",0.72,0.61,2723211.554,1120698.386,2.376632348,268,0.517099545,0.06848965,0.294329013785838,17.3204123336815,12.4706968802507
"T2",0.94,0.71,2723203.218,1120698.051,2.9639267,28,0.430182131,0.007155635,0.356175609004744,25.3641566852639,23.8423072841481
"S1",0.01,0.13,2742136.499,1252273.04,2.962243136,259,0.519830274,0.066189624,0.00885510713936425,0.0156776049435329,0.000156776049435329
"S1",0.01,0.73,2742133.302,1252279.694,2.522666857,218,0.441714897,0.05571173,0.00373683624122972,0.00279190225021819,2.79190225021819e-05
"S1",0.19,1.06,2742128.621,1252281.078,3.034217626,106,0.501308776,0.02708919,0.0589204648638671,0.694103773584906,0.131879716981132
"S1",0.01,0.16,2742123.285,1252229.855,3.266055596,838,0.784812165,0.214157935,0.00798188571017626,0.0127380540166205,0.000127380540166205
"S1",0.38,0.53,2742118.852,1252231.224,2.945647944,167,0.526374866,0.042678252,0.166652241023617,5.55283018867924,2.11007547169811
"S1",0.69,0.61,2742116.269,1252232.206,3.278647409,294,0.571209622,0.075134168,0.282065304878094,15.9071147995096,10.9759092116616
"S1",0.16,0.19,2742118.569,1252040.11,2.991217767,1086,0.719531131,0.277536417,0.117194890743746,2.74605627642513,0.439369004228022
"S1",0.69,0.37,2742115.15,1252038.762,3.265239921,947,0.742475927,0.2420138,0.362171044001062,26.2252433181103,18.0954178894961
"S1",1.2,0.55,2742112.858,1252038.414,3.422198256,640,0.688159027,0.163557373,0.516613079807823,53.3608662805339,64.0330395366406
"S1",0.01,0.11,2742159.694,1251990.037,2.76458598,836,0.653534429,0.213646818,0.00962651637096513,0.0185280785696298,0.000185280785696298
"S1",0.27,0.53,2742154.977,1251984.184,3.622336485,304,0.636641434,0.077689752,0.11841080283257,2.8033332462238,0.756899976480427
"S1",0.33,0.66,2742150.3,1251979.764,3.321028261,589,0.703102626,0.150523895,0.129690292101774,3.36284626038781,1.10973926592798
"S2",0.02,0.24,2743458.686,1254432.772,2.332979228,2154,0.602744272,0.550472783,0.0130343647834296,0.0339681440443213,0.000679362880886427
"S2",0.16,0.76,2743462.07,1254437.039,2.416926121,2677,0.713102879,0.684129824,0.0585974453718732,0.686514069106284,0.109842251057005
"S2",0.19,0.91,2743464.677,1254440.664,2.917647838,757,0.596666171,0.193457705,0.063591402164031,0.808516483516483,0.153618131868132
"S2",0.01,0.16,2743416.296,1254451.147,2.536492407,865,0.496379453,0.221058012,0.00798188571017626,0.0127380540166205,0.000127380540166205
"S2",0.19,0.46,2743416.808,1254454.03,2.50473917,589,0.556319585,0.150523895,0.0894417280614038,1.59945652173913,0.303896739130435
"S2",0.36,0.68,2743417.595,1254456.465,2.453109683,1700,0.691101604,0.434449272,0.139384198057405,3.88435717777416,1.3983685839987
"S2",0.22,0.18,2743372.595,1254429.244,3.239647518,1070,0.813117981,0.273447483,0.165558668361435,5.48019390581717,1.20564265927978
"S2",0.66,0.34,2743369.91,1254430.803,2.585749029,3772,0.767016643,0.963966266,0.361384876001012,26.1115121394818,17.233598012058
"S2",1.13,0.55,2743363.472,1254433.851,2.893994368,1384,0.588039653,0.353692819,0.486477316819033,47.3170070511206,53.4682179677663
"S2",0.01,0.33,2743378.786,1254310.744,2.310260692,3417,0.727297742,0.873243036,0.00555787181813506,0.00617602618987661,6.17602618987661e-05
"S2",0.33,0.77,2743375.546,1254306.876,2.643619267,1220,0.643173101,0.311781242,0.120069879173196,2.88243965176098,0.951205085081124
"S2",0.33,0.82,2743372.187,1254305.638,2.555206224,864,0.592027484,0.220802453,0.11635164023073,2.7066811364097,0.893204775015202
"SR",0.01,0.16,2743332.409,1251642.107,3.165907082,366,0.604831425,0.093534373,0.00798188571017626,0.0127380540166205,0.000127380540166205
"SR",0.13,0.7,2743330.389,1251643.655,3.377390282,231,0.635204934,0.059033989,0.0496089264176482,0.492052829442026,0.0639668678274634
"SR",0.05,0.89,2743329.05,1251644.468,3.198494037,226,0.683778972,0.057756197,0.0169215638624798,0.0572496809735753,0.00286248404867876
"SR",0.05,0.25,2743344.568,1251656.954,2.972133265,390,0.55878754,0.099667774,0.031927542840705,0.203808864265928,0.0101904432132964
"SR",0.44,0.57,2743343.282,1251657.532,3.074991966,226,0.569257128,0.057756197,0.186071879726015,6.92235019682169,3.04583408660154
"SR",0.33,0.65,2743342.309,1251657.984,2.983632883,247,0.576588757,0.063122924,0.13068410197697,3.41458235670147,1.12681217771149
"SR",0.24,0.19,2743350.691,1251666.337,2.989823921,941,0.674685608,0.24048045,0.17579233611562,6.17862662195655,1.48287038926957
"SR",0.83,0.3,2743349.449,1251666.368,3.382051884,1417,0.809119819,0.362126246,0.483819046608013,46.8013088642659,38.8450863573407
"SR",0.47,0.5,2743347.875,1251666.66,2.923951049,3008,0.851046178,0.768719652,0.212216111263294,9.0042756232687,4.23200954293629
"SR",0.01,0.21,2743380.451,1251668.174,3.153328841,866,0.716944324,0.22131357,0.00696716103911792,0.00970518401266324,9.70518401266324e-05
"SR",0.11,0.24,2743380.779,1251671.052,3.015939091,2425,0.866400073,0.619729108,0.0716890063088627,1.02753635734072,0.113028999307479
"SR",0.33,0.7,2743380.264,1251674.981,3.255571653,1114,0.756207438,0.284692052,0.125930351675569,3.17068361693708,1.04632559358924
"S5",0.05,0.13,2734155.885,1262173.609,2.773266492,950,0.66521814,0.242780475,0.0442755356968213,0.391940123588323,0.0195970061794162
"S5",0.22,0.51,2734160.239,1262178.668,2.488985309,475,0.451748221,0.121390238,0.0983565052179387,1.93418608440606,0.425520938569333
"S5",0.44,0.74,2734164.721,1262182.585,2.873817059,382,0.5464926,0.097623307,0.16330606450946,5.3320805570113,2.34611544508497
"S5",0.11,0.16,2734187.861,1262146.996,2.893006768,390,0.562556173,0.099667774,0.0878007428119389,1.54130453601108,0.169543498961219
"S5",0.27,0.41,2734194.159,1262153.598,2.79474664,336,0.549090262,0.085867621,0.134628600778899,3.62382102560638,0.978431676913722
"S5",0.74,0.62,2734197.665,1262157.816,3.330207887,485,0.690941069,0.123945822,0.300055347672444,18.0009248503262,13.3206843892414
"S5",0.14,0.18,2734202.938,1262131.882,2.915350433,512,0.563476694,0.130845898,0.105355516230004,2.21925207756233,0.310695290858726
"S5",0.44,0.4,2734208.986,1262138.635,3.16526398,505,0.604301653,0.12905699,0.222120262032307,9.86434903047091,4.3403135734072
"S5",0.94,0.59,2734215.143,1262143.763,3.201869365,1223,0.695249181,0.312547917,0.390721531076149,30.5229682144702,28.6915901216019
"S5",0.16,0.18,2734224.145,1262103.3,2.738839156,846,0.526770517,0.216202402,0.120406304262862,2.89861495844875,0.463778393351801
"S5",0.44,0.35,2734231.618,1262112.583,2.942119684,738,0.683901403,0.188602096,0.23745654833867,11.2735417491096,4.96035836960823
"S5",0.63,0.5,2734235.725,1262118.952,3.076518901,692,0.644661309,0.176846409,0.28445989382101,16.1783476454294,10.1923590166205
"SA1",0.1,0.11,2576387.499,1181254.94,2.602198996,1069,0.548005931,0.273191924,0.0962651637096513,1.85280785696298,0.185280785696298
"SA1",0.37,0.36,2576389.998,1181249.535,2.404577164,1008,0.558814951,0.257602862,0.196886514184348,7.75039819944598,2.86764733379501
"SA1",0.64,0.46,2576391.39,1181244.605,2.814175705,791,0.687219631,0.202146691,0.301277399785781,18.1478501746357,11.6146241117668
"SA1",0.01,0.11,2576354.563,1181240.641,2.251039927,1244,0.464345143,0.317914643,0.00962651637096513,0.0185280785696298,0.000185280785696298
"SA1",0.31,0.51,2576357.847,1181234.957,2.530939167,625,0.524589263,0.159723997,0.13859325735255,3.84039840312856,1.19052350496985
"SA1",0.6,0.58,2576359.485,1181231.413,2.160457833,897,0.601530071,0.22923588,0.251537505623337,12.65020536823,7.59012322093801
"SA1",0.06,0.09,2576331.741,1181230.602,2.337767449,792,0.523274871,0.202402249,0.0638550856814101,0.815235457063712,0.0489141274238227
"SA1",1.09,0.38,2576333.64,1181224.082,2.944641976,1804,0.779116304,0.461027345,0.56454711963874,63.7224504300919,69.4574709688001
"SA1",1.02,0.34,2576335.269,1181220.784,2.422878639,263,0.471679364,0.067211858,0.558503899274291,62.365512465374,63.6128227146814
"SA1",0.01,0.09,2576316.104,1181229.288,2.369522027,3229,0.717095817,0.825198058,0.010642514280235,0.0226454293628809,0.000226454293628809
"SA1",0.52,0.34,2576317.881,1181223.891,2.806444181,2039,0.763534337,0.521083568,0.284727478061403,16.208799087502,8.42857552550106
"SA1",0.72,0.4,2576319.414,1181218.649,2.671860199,1130,0.649415726,0.288780986,0.36346951968923,26.4136288088643,19.0178127423823
"SAR",0.03,0.14,2575586.286,1179876.21,2.538483649,530,0.442926569,0.135445949,0.0255989842524569,0.131019984170954,0.00393059952512861
"SAR",0.26,0.28,2575582.185,1179876.22,2.565800384,793,0.517455287,0.202657807,0.156877199755466,4.92052829442026,1.27933735654927
"SAR",0.45,0.33,2575578.339,1179876.145,2.812983255,1118,0.640167264,0.285714286,0.250104231816078,12.5064530345001,5.62790386552506
"SAR",0.09,0.18,2575585.106,1179862.167,2.510965742,879,0.529442775,0.224635829,0.0677285461478596,0.917139889196676,0.0825425900277008
"SAR",0.3,0.29,2575580.608,1179862.545,2.511592691,1079,0.628744543,0.275747508,0.177863875949011,6.325102684115,1.8975308052345
"SAR",0.47,0.51,2575576.93,1179862.779,2.95077195,540,0.6121515,0.138001533,0.210125261147415,8.82772119928303,4.14902896366303
"SAR",0.18,0.13,2575584.319,1179828.756,2.605562799,1296,0.678991338,0.33120368,0.159391928508556,5.07954400170467,0.91431792030684
"SAR",0.65,0.3,2575579.283,1179827.781,3.158550432,1730,0.753738415,0.442116024,0.378894434090612,28.7030817174515,18.6570031163435
"SAR",0.75,0.53,2575575.53,1179827.201,3.300163102,518,0.650493126,0.132379249,0.328918896757138,21.6306577640725,16.2229933230544
"SAR",0.02,0.11,2575595.907,1179795.386,1.633329802,283,0.327599939,0.072323026,0.0192530327419303,0.0741123142785193,0.00148224628557039
"SAR",0.42,0.24,2575589.22,1179793.153,2.573356564,556,0.546816638,0.142090468,0.273721660452021,14.9799515235457,6.29157963988919
"SAR",0.5,0.49,2575583.262,1179791.392,2.869182099,1268,0.75703343,0.324048045,0.228053877433607,10.3984114421392,5.19920572106959
"SA2",0.11,0.11,2579336.846,1183787.912,2.087864572,2410,0.564646885,0.615895732,0.105891680080616,2.24189750692521,0.246608725761773
"SA2",0.42,0.28,2579340.226,1183791.609,2.522525234,1176,0.642376256,0.300536673,0.253417014989599,12.8399584487535,5.39278254847645
"SA2",0.47,0.56,2579342.199,1183794.07,2.693245803,1313,0.635333083,0.335548173,0.200525376644246,8.03953180648991,3.77857994905026
"SA2",0.03,0.12,2579351.752,1183778.359,1.934952853,2041,0.573448401,0.521594684,0.0276500631804666,0.152856648199446,0.00458569944598338
"SA2",0.57,0.63,2579354.745,1183783.366,2.907526334,1262,0.741709016,0.322514695,0.229282061181066,10.5107142857143,5.99110714285714
"SA2",0.75,0.62,2579360.786,1183787.509,2.670126529,770,0.512967249,0.196779964,0.304110149668017,18.4907235725136,13.8680426793852
"SA2",0.01,0.11,2579367.687,1183770.416,2.293165412,2225,0.566495768,0.568617429,0.00962651637096513,0.0185280785696298,0.000185280785696298
"SA2",0.82,0.38,2579371.137,1183772.907,2.722985102,2784,0.72444837,0.711474572,0.424705172572263,36.0634421927395,29.5720225980463
"SA2",1.22,0.56,2579372.832,1183775.044,2.956777996,1187,0.668006417,0.303347815,0.520512679799957,54.1694845666798,66.0867711713494
"SA2",0.13,0.11,2579383.987,1183751.999,1.852765733,2585,0.594897767,0.660618451,0.125144712822547,3.13124527826744,0.407061886174767
"SA2",0.49,0.4,2579388.171,1183754.904,2.324772483,1307,0.545627049,0.334014822,0.247361200899615,12.2336270775623,5.99447726800554
"SA2",0.55,0.59,2579391.292,1183758.105,2.564088362,1595,0.746601906,0.40761564,0.228613661799874,10.4495222780412,5.74723725292267
"SA6",0.01,0.11,2584537.727,1195810.863,1.649737447,783,0.405093126,0.200102223,0.00962651637096513,0.0185280785696298,0.000185280785696298
"SA6",0.26,0.29,2584530.12,1195815.811,1.875240883,946,0.399176883,0.241758242,0.154148692489143,4.75085490495749,1.23522227528895
"SA6",0.55,0.85,2584524.207,1195819.134,2.613074824,75,0.374044613,0.01916688,0.19046655335012,7.25319781652273,3.9892587990875
"SA6",0.01,0.1,2584513.192,1195775.863,1.762505935,2423,0.552587866,0.619217991,0.010096375546923,0.0203808864265928,0.000203808864265928
"SA6",0.47,0.61,2584504.443,1195781.462,2.311114374,234,0.326609581,0.059800664,0.192131439554644,7.3805537895645,3.46886028109532
"SA6",0.58,0.88,2584500.077,1195783.038,2.309890815,406,0.425044057,0.103756708,0.19740227514827,7.79105703852934,4.51881308234701
"SA6",0.07,0.09,2584473.553,1195684.182,2.088666907,1030,0.512962096,0.263225147,0.0744975999616451,1.10962603878116,0.0776738227146815
"SA6",0.85,0.44,2584461.481,1195687.369,2.379010114,304,0.35447825,0.077689752,0.409126945766018,33.4663419163938,28.4463906289348
"SA6",1.17,0.76,2584454.101,1195687.627,2.480458295,587,0.505193375,0.150012778,0.428493819281823,36.709730828109,42.9503850688876
"SA6",0.28,0.25,2584458.622,1195527.602,2.560266103,3913,0.89966614,1,0.178794239907948,6.3914459833795,1.78960487534626
"SA6",0.9,0.44,2584449.091,1195526.948,2.776756917,198,0.437495128,0.050600562,0.433193236693431,37.5193591035004,33.7674231931503
"SA6",0.9,0.59,2584440.652,1195522.977,2.334487993,333,0.386367425,0.085100946,0.374095082945249,27.980538992441,25.1824850931969
"L1",0.5,0.3,2768906.248,1204831.73,2.382003382,260,0.466053431,0.066445183,0.291457256992779,16.9840720221607,8.49203601108033
"L1",0.8,0.55,2768905.497,1204830.735,2.933402416,52,0.446607727,0.013289037,0.344408719871882,23.7159405691262,18.9727524553009
"L1",0.63,0.44,2768905.85,1204829.234,3.658872433,69,0.592605844,0.017633529,0.303235265685402,18.3844859607152,11.5822261552506
"L1",0.44,0.32,2768943.691,1204811.905,2.458148405,75,0.387715439,0.01916688,0.248338002542152,12.3304362880886,5.425391966759
"L1",0.48,0.53,2768943.608,1204810.593,2.09759062,75,0.327383184,0.01916688,0.210508093924568,8.85991742016411,4.25276036167877
"L1",0.78,0.63,2768943.348,1204810.366,3.026338963,83,0.496045697,0.021211347,0.313754399510932,19.682113177681,15.3520482785912
"L1",0.69,0.3,2769001.048,1204795.94,2.3332077,179,0.384158353,0.045744953,0.402211014650035,32.3444667590028,22.3176820637119
"L1",0.44,0.28,2769000.714,1204794.901,2.304564375,201,0.392628455,0.051367237,0.265484491893865,14.091927186387,6.20044796201029
"L1",0.73,0.57,2768999.514,1204793.262,2.319928342,44,0.340791669,0.011244569,0.308710164090888,19.0543410118093,13.9096689386208
"L1",0.55,0.43,2769032.368,1204797.63,2.498828783,55,0.365997683,0.014055712,0.267789755059228,14.3377166140566,7.88574413773111
"L1",0.7,0.48,2769032.741,1204795.186,2.195500158,47,0.340922572,0.012011245,0.322584070438776,20.8054882271468,14.5638417590028
"L1",0.74,0.48,2769032.84,1204792.808,2.22248508,41,0.332725387,0.010477894,0.341017445892421,23.2511945983379,17.2058840027701
"LR",0.01,0.2,2779182.3,1198269.231,0.964453748,489,0.302563765,0.124968055,0.00713921561463532,0.0101904432132964,0.000101904432132964
"LR",0.44,0.56,2779181.994,1198271.096,0.66445395,1151,0.33993895,0.294147713,0.187725884518017,7.04596359319351,3.10022398100514
"LR",0.55,0.58,2779182.708,1198273.396,1.022235948,1643,0.434961407,0.419882443,0.230576046821392,10.6296864552488,5.84632755038686
"LR",0.01,0.16,2779193.191,1198267.261,2.562641142,637,0.53152456,0.162790698,0.00798188571017626,0.0127380540166205,0.000127380540166205
"LR",0.35,0.58,2779193.201,1198269.117,2.034894063,128,0.417736192,0.032711475,0.146730211613613,4.30458377113382,1.50660431989684
"LR",0.4,1.03,2779193.912,1198271.505,2.534616376,191,0.487059605,0.048811653,0.125836570963166,3.16596294005325,1.2663851760213
"LR",0.42,0.27,2779242.354,1198237.924,3.151288886,380,0.595565716,0.09711219,0.258067256351021,13.315512465374,5.59251523545706
"LR",0.54,0.44,2779244.929,1198240.804,3.183733186,153,0.574109711,0.039100434,0.259915942016058,13.5069692772601,7.29376340972047
"LR",0.96,0.58,2779245.431,1198242.753,2.876124499,228,0.470951322,0.058267314,0.402460008997339,32.3845257426688,31.0891447129621
"LR",0.21,0.22,2779255.123,1198228.793,1.442884758,1646,0.475755217,0.420649118,0.142946475107368,4.08544132460337,0.857942678166708
"LR",0.7,0.33,2779257.195,1198229.449,2.580351946,207,0.464478544,0.052900588,0.389051027269454,30.2625283303954,21.1837698312767
"LR",1.2,0.6,2779257.728,1198232.786,2.425628207,247,0.504096647,0.063122924,0.494619366829498,48.9141274238227,58.6969529085872
"L2",0.05,0.24,2777147.747,1198394.052,2.49218354,360,0.504382885,0.092001022,0.032585911958574,0.212300900277008,0.0106150450138504
"L2",0.38,0.51,2777148.101,1198399.737,2.565174432,1121,0.523588477,0.286480961,0.169888509012803,5.77058823529412,2.19282352941176
"L2",0.77,0.65,2777149.204,1198403.709,2.747792937,1137,0.594282068,0.290569895,0.304929571279597,18.5905039420413,14.3146880353718
"L2",0.02,0.3,2777156.023,1198393.293,0.473774647,953,0.278218985,0.243547151,0.0116582902797112,0.0271745152354571,0.000543490304709141
"L2",0.3,0.71,2777154.81,1198396.691,2.75071095,383,0.46462951,0.097878865,0.113673066703642,2.58349264562444,0.775047793687332
"L2",0.5,0.72,2777154.859,1198399.161,2.831499356,795,0.561636037,0.203168924,0.188134850410721,7.07669667590028,3.53834833795014
"L2",0.05,0.16,2777279.658,1198345.041,2.727316994,677,0.539821868,0.173013033,0.0399094285508813,0.318451350415512,0.0159225675207756
"L2",0.36,0.38,2777281.145,1198348.68,2.386046021,843,0.526338896,0.215435727,0.186455929421969,6.95095494970112,2.5023437818924
