"River","Discharge","value","normal","persistent"
"GL2",22,0.6,4431,1073
"GL2",22,0.8,34317,19176
"GL2",22,1,19253,6290
"GL2",25,0.2,1840,133
"GL2",25,0.4,49731,36046
"GL2",25,0.6,4280,913
"GL2",25,0.8,34327,17590
"GL2",25,1,18955,5417
"GL2",28,0.2,1713,98
"GL2",28,0.4,50089,34892
"GL2",28,0.6,4189,836
"GL2",28,0.8,34710,16301
"GL2",28,1,18813,4793
"GL2",31.53,0.2,1719,74
"GL2",31.53,0.4,50848,33524
"GL2",31.53,0.6,3980,665
"GL2",31.53,0.8,34964,15032
"GL2",31.53,1,18750,4195
"L2",2.4,0.2,746,746
"L2",2.4,0.4,17,17
"L2",2.4,0.6,3332,3332
"L2",2.4,0.8,3592,3592
"L2",2.4,1,18343,18343
"L2",3.9,0.2,971,177
"L2",3.9,0.4,74,74
"L2",3.9,0.6,3230,1636
"L2",3.9,0.8,7179,7179
"L2",3.9,1,17967,17417
"L2",7,0.2,2176,82
"L2",7,0.4,331,331
"L2",7,0.6,4616,440
"L2",7,0.8,14240,14064
"L2",7,1,14386,11578
"L2",9.24,0.2,2008,51
"L2",9.24,0.4,672,672
"L2",9.24,0.6,5880,308
"L2",9.24,0.8,18438,17802
"L2",9.24,1,12593,7654
"L2",11.4,0.2,1590,15
"L2",11.4,0.4,1139,1134
"L2",11.4,0.6,7268,248
"L2",11.4,0.8,21587,20387
"L2",11.4,1,11491,4697
"L2",13.3,0.2,1152,16
"L2",13.3,0.4,1778,1771
"L2",13.3,0.6,8239,200
"L2",13.3,0.8,22858,21076
"L2",13.3,1,12034,3412
"L2",16.5,0.2,1011,12
"L2",16.5,0.4,2903,2873
"L2",16.5,0.6,7246,142
"L2",16.5,0.8,23981,21098
"L2",16.5,1,14606,2329
"L2",18.9,0.2,907,NA
"L2",18.9,0.4,3885,3811
"L2",18.9,0.6,7151,131
"L2",18.9,0.8,24507,20569
"L2",18.9,1,15782,1930
"M1",0.47,0.2,4069,4069
"M1",0.47,0.4,115,115
"M1",0.47,0.6,15546,15546
"M1",0.47,0.8,1014,1014
"M1",0.47,1,4719,4719
"M1",0.6,0.2,3830,2918
"M1",0.6,0.4,178,172
"M1",0.6,0.6,18437,15382
"M1",0.6,0.8,2362,1383
"M1",0.6,1,9606,5797
"M1",4,0.2,3248,336
"M1",4,0.4,3854,1027
"M1",4,0.6,6610,1939
"M1",4,0.8,16363,7207
"M1",4,1,25659,15056
"M1",6,0.2,3867,147
"M1",6,0.4,5030,1340
"M1",6,0.6,8025,1243
"M1",6,0.8,22208,9883
"M1",6,1,24364,12796
"M1",8,0.2,2911,68
"M1",8,0.4,6220,1770
"M1",8,0.6,8387,944
"M1",8,0.8,27238,12262
"M1",8,1,23123,10276
"M1",10,0.2,2256,48
"M1",10,0.4,7803,2383
"M1",10,0.6,7097,615
"M1",10,0.8,31842,15266
"M1",10,1,22295,6937
"M1",12,0.2,1947,58
"M1",12,0.4,9905,3172
"M1",12,0.6,6348,350
"M1",12,0.8,36000,18010
"M1",12,1,19635,3601
"M1",14,0.2,1641,33
"M1",14,0.4,12775,4484
"M1",14,0.6,6325,257
"M1",14,0.8,37378,17841
"M1",14,1,18038,2506
"M1",16,0.2,1548,25
"M1",16,0.4,16560,6735
"M1",16,0.6,5745,210
"M1",16,0.8,37011,16149
"M1",16,1,16895,1932
"M1",18.84,0.2,1548,25
"M1",18.84,0.4,16560,6735
"M1",18.84,0.6,5745,210
"M1",18.84,0.8,37011,16149
"M1",18.84,1,16895,1932
"M1",22.84,0.2,1470,21
"M1",22.84,0.4,26355,11066
"M1",22.84,0.6,5236,172
"M1",22.84,0.8,34557,12556
"M1",22.84,1,13831,873
"S1",2,0.2,1784,1784
"S1",2,0.4,147,147
"S1",2,0.6,15933,15933
"S1",2,0.8,6339,6339
"S1",2,1,14975,14975
"S1",3.7,0.2,809,340
"S1",3.7,0.4,771,771
"S1",3.7,0.6,12133,11164
"S1",3.7,0.8,11149,11082
"S1",3.7,1,16993,15979
"S1",6.5,0.2,566,292
"S1",6.5,0.4,2012,1991
"S1",6.5,0.6,5139,4015
"S1",6.5,0.8,16090,15505
"S1",6.5,1,20081,17506
"S1",8.5,0.2,972,285
"S1",8.5,0.4,3614,3487
"S1",8.5,0.6,3837,2867
"S1",8.5,0.8,17446,16442
"S1",8.5,1,19458,16209
"S1",10.68,0.2,831,169
"S1",10.68,0.4,5071,4819
"S1",10.68,0.6,3479,2486
"S1",10.68,0.8,19094,17617
"S1",10.68,1,18091,14149
"S1",13,0.2,1007,217
"S1",13,0.4,6124,5726
"S1",13,0.6,4057,2120
"S1",13,0.8,20960,18903
"S1",13,1,16921,12208
"S1",15,0.2,1443,100
"S1",15,0.4,7020,6538
"S1",15,0.6,3458,1639
"S1",15,0.8,22043,19335
"S1",15,1,16415,11303
"S1",18,0.2,2287,48
"S1",18,0.4,8438,7843
"S1",18,0.6,3160,1058
"S1",18,0.8,24036,20029
"S1",18,1,14334,9326
"S1",20,0.2,1907,55
"S1",20,0.4,9128,8485
"S1",20,0.6,4085,933
"S1",20,0.8,25904,21050
"S1",20,1,12566,7478
"S2",2,0.2,3266,3266
"S2",2,0.4,222,222
"S2",2,0.6,8920,8920
"S2",2,0.8,6534,6534
"S2",2,1,15839,15839
"S2",3.2,0.2,1769,1271
"S2",3.2,0.4,279,279
"S2",3.2,0.6,7558,6349
"S2",3.2,0.8,10501,10468
"S2",3.2,1,18982,17171
"S2",6.5,0.2,649,192
"S2",6.5,0.4,1006,980
"S2",6.5,0.6,4090,2396
"S2",6.5,0.8,20408,18969
"S2",6.5,1,16932,13198
"S2",8.5,0.2,716,153
"S2",8.5,0.4,2038,2000
"S2",8.5,0.6,2575,1085
"S2",8.5,0.8,23046,20578
"S2",8.5,1,16272,11932
"S2",10.93,0.2,693,20
"S2",10.93,0.4,4006,3921
"S2",10.93,0.6,2613,652
"S2",10.93,0.8,24502,20988
"S2",10.93,1,15116,10165
"S2",13,0.2,830,13
"S2",13,0.4,5728,5559
"S2",13,0.6,1926,454
"S2",13,0.8,25161,20891
"S2",13,1,14234,8830
"S2",15,0.2,1010,9
"S2",15,0.4,6857,6621
"S2",15,0.6,1959,386
"S2",15,0.8,25824,20570
"S2",15,1,13067,8129
"S2",18,0.2,1040,21
"S2",18,0.4,9149,8601
"S2",18,0.6,2279,297
"S2",18,0.8,26111,19423
"S2",18,1,11459,7330
"S2",20,0.2,668,66
"S2",20,0.4,3179,3113
"S2",20,0.6,2901,838
"S2",20,0.8,24175,21069
"S2",20,1,15375,10660
"TH4",11.45,0.2,3227,3227
"TH4",11.45,0.4,3253,3253
"TH4",11.45,0.6,9411,9411
"TH4",11.45,0.8,51396,51396
"TH4",11.45,1,33874,33874
"TH4",15,0.2,3092,2099
"TH4",15,0.4,5852,5852
"TH4",15,0.6,7485,6121
"TH4",15,0.8,61276,61245
"TH4",15,1,27498,26141
"TH4",18,0.2,2225,1145
"TH4",18,0.4,8678,8676
"TH4",18,0.6,7487,5305
"TH4",18,0.8,67023,66732
"TH4",18,1,22242,19564
"TH4",19.96,0.2,2125,956
"TH4",19.96,0.4,10935,10930
"TH4",19.96,0.6,7122,4612
"TH4",19.96,0.8,69304,68712
"TH4",19.96,1,19750,16180
"TH4",22.5,0.2,2284,728
"TH4",22.5,0.4,14167,14140
"TH4",22.5,0.6,6273,3679
"TH4",22.5,0.8,70319,69243
"TH4",22.5,1,18420,13549
"TH4",25,0.2,1858,562
"TH4",25,0.4,17455,17408
"TH4",25,0.6,6089,3173
"TH4",25,0.8,70371,68726
"TH4",25,1,17165,11409
"TH4",27,0.2,1775,447
"TH4",27,0.4,20220,20138
"TH4",27,0.6,5901,2927
"TH4",27,0.8,70037,67758
"TH4",27,1,16002,9954
"TH4",30,0.2,1580,355
"TH4",30,0.4,24687,24533
"TH4",30,0.6,5663,2496
"TH4",30,0.8,68528,65262
"TH4",30,1,14938,8454
"TH4",32.93,0.2,1423,294
"TH4",32.93,0.4,29134,28888
"TH4",32.93,0.6,5264,2218
"TH4",32.93,0.8,66594,62301
"TH4",32.93,1,14125,7244
"VR3",2.9,0.2,11142,11142
"VR3",2.9,0.4,2093,2093
"VR3",2.9,0.6,36283,36283
"VR3",2.9,0.8,19902,19902
"VR3",2.9,1,63589,63589
"VR3",6,0.2,9427,5583
"VR3",6,0.4,5654,5652
"VR3",6,0.6,23304,16873
"VR3",6,0.8,39175,38299
"VR3",6,1,75333,67949
"VR3",9,0.2,8857,4354
"VR3",9,0.4,9768,9632
"VR3",9,0.6,22481,11527
"VR3",9,0.8,56260,52403
"VR3",9,1,71588,56197
"VR3",12,0.2,8829,3164
"VR3",12,0.4,13827,13282
"VR3",12,0.6,20361,9523
"VR3",12,0.8,71261,64299
"VR3",12,1,65723,43311
"VR3",15,0.2,10274,2921
"VR3",15,0.4,18436,17113
"VR3",15,0.6,26166,8062
"VR3",15,0.8,84764,74441
"VR3",15,1,58015,30445
"VR3",18.8,0.2,7745,2030
"VR3",18.8,0.4,24065,21778
"VR3",18.8,0.6,25971,7467
"VR3",18.8,0.8,96723,79542
"VR3",18.8,1,53315,21204
"VR3",22,0.2,6260,1508
"VR3",22,0.4,29193,25893
"VR3",22,0.6,24363,7021
"VR3",22,0.8,102309,79561
"VR3",22,1,52494,17174
"VR3",25,0.2,7130,2302
"VR3",25,0.4,34247,29782
"VR3",25,0.6,20842,5582
"VR3",25,0.8,105044,78004
"VR3",25,1,52019,14700
"VR3",28,0.2,6794,2201
"VR3",28,0.4,39093,33520
"VR3",28,0.6,19516,5003
"VR3",28,0.8,106500,75619
"VR3",28,1,51036,13153
"VR3",31,0.2,6462,2127
"VR3",31,0.4,45082,38096
"VR3",31,0.6,17587,4503
"VR3",31,0.8,105446,71945
"VR3",31,1,51563,11924
"VR3",34,0.2,6298,2141
"VR3",34,0.4,51192,42532
"VR3",34,0.6,15826,4019
"VR3",34,0.8,103454,68002
"VR3",34,1,51980,10917
"VR3",37,0.2,6029,2102
"VR3",37,0.4,57605,47224
"VR3",37,0.6,14479,3631
"VR3",37,0.8,101213,63484
"VR3",37,1,51720,10204
"VR3",40.1,0.2,5847,2009
"VR3",40.1,0.4,65230,53402
"VR3",40.1,0.6,13469,3398
"VR3",40.1,0.8,97908,57584
"VR3",40.1,1,50763,9390
"VR3",43,0.2,6831,1951
"VR3",43,0.4,73621,60344
"VR3",43,0.6,13273,3083
"VR3",43,0.8,93867,50736
"VR3",43,1,48608,8794
"VR3",46,0.2,6556,1868
"VR3",46,0.4,80174,65396
"VR3",46,0.6,13272,2863
"VR3",46,0.8,91419,45380
"VR3",46,1,46695,8325
"VR3",48,0.2,6274,1842
"VR3",48,0.4,83986,68026
"VR3",48,0.6,13372,2663
"VR3",48,0.8,90711,42788
"VR3",48,1,44862,7899
"VR3",50,0.2,6257,1798
"VR3",50,0.4,87123,70199
"VR3",50,0.6,13304,2490
"VR3",50,0.8,90167,40308
"VR3",50,1,43390,7693
"VR3",52.9,0.2,6235,1725
"VR3",52.9,0.4,91479,72901
"VR3",52.9,0.6,13063,2388
"VR3",52.9,0.8,89656,37127
"VR3",52.9,1,40930,7206
