"","Reach_Untersuchungsstelle","Transect","Sampling_point","Time_of_survey","DIstance_Wasseranschlaglinie_m","Flow_velocity_v60_cm/s","Category_Flow_velocity_5_Bewohnbarkeits-klasse","Water_depth_cm","Category_Water_depth","Clogging_6_Klassen","Clogging_3_Klassen","Substrate_type","Algae_cover_Bewuchsdichte_5_Kategorien_1-5","Moos_cover_Deckungsgrad_6_Kategorien_0-5","CPOM_cover_Deckungsgrad_5_Kategorien_1-5","RTK-GPS_Nr","MZB_kick-net_taken_by","Oxygen_saturation_%_before","Oxygen_saturation_%_during","Oxygen_saturation_%_after","x","y","z","Sampling_site","lab$EPT_Taxa","k_index"
"632","SE3",3,2,13:35:00,4.3,83,NA,37,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,8,"Diego",NA,NA,NA,"2593498.188",1192870.334,552.144,NA,0,0
"633","SE3",3,3,13:30:00,7.3,222,NA,62,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,7,"Diego",NA,NA,NA,"2593501.814",1192870.92,551.983,NA,0,0
"634","SE3",4,1,14:05:00,2.2,63,NA,17,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,12,"Diego",NA,NA,NA,"2593513.082",1192817.35,552.867,NA,0,0
"635","SE3",4,2,14:00:00,8.7,66,NA,23,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,11,"Diego",NA,NA,NA,"2593517.525",1192818.308,552.814,NA,0,0
"636","SE3",4,3,13:50:00,15.9,186,NA,46,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,10,"Diego",NA,NA,NA,"2593523.038",1192818.953,552.787,NA,0,0
"637","SE4",1,1,09:50:00,4.85,49,NA,33,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,3,"Diego",NA,NA,NA,"2585013.044",1194451.821,487.254,NA,0,0
"638","SE4",1,2,09:45:00,10.8,161,NA,51,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,2,"Diego",NA,NA,NA,"2585010.254",1194446.391,487.068,NA,0,0
"639","SE4",1,3,09:35:00,16.35,152,NA,58,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,1,"Diego",NA,NA,NA,"2585008.518",1194441.169,487.067,NA,0,0
"640","SE4",2,1,10:05:00,3.85,69,NA,32,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,6,"Diego",NA,NA,NA,"2585053.348",1194434.87,487.43,NA,0,0
"641","SE4",2,2,10:00:00,6.2,122,NA,54,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,5,"Diego",NA,NA,NA,"2585051.701",1194432.828,487.34,NA,0,0
